id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
6340.0,Pedro Díaz,Pedro Diaz,male,1998-06-05T00:00:00+00:00,75.0,180.0,Real Sporting,SPO,https://assets.laliga.com/assets/2019/06/07/medium/sporting.png,8.0,Midfielder,https://assets.laliga.com/squad/2021/t616/p435065/512x556/p435065_t616_2021_1_001_000.png,20.0,42.0,2.0,7.0,8.0,0.0,4.0,190.0,4.0,39.0,32.0,33.0,0.0,1801.0,0.0,0.0,0.0,19.0,0.0,2.0,51.0,157.0,796.0,737.0,1363.0,12.0,39.0,575.0,1888.0,76.0,24.0,26.0,137.0,231.0,3.0,Defender,1715.0
1329.0,Daniel Pedro Calvo Sanromán,Dani Calvo,male,1994-04-01T00:00:00+00:00,82.0,190.0,Real Oviedo,OVI,https://assets.laliga.com/assets/2019/06/07/medium/oviedo.png,12.0,Defender,https://assets.laliga.com/squad/2021/t187/p185650/512x556/p185650_t187_2021_1_001_000.png,145.0,41.0,0.0,0.0,19.0,0.0,15.0,207.0,1.0,38.0,31.0,2.0,2.0,1716.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,99.0,378.0,1080.0,1358.0,199.0,33.0,327.0,1756.0,36.0,31.0,3.0,145.0,154.0,8.0,Midfielder,1678.0
8722.0,Javier Hernández,Javi Hdez.,male,1998-05-02T00:00:00+00:00,72.0,185.0,CD Leganés,LEG,https://assets.laliga.com/assets/2019/06/07/medium/leganes.png,20.0,Midfielder,https://assets.laliga.com/squad/2021/t957/p463163/512x556/p463163_t957_2021_1_001_000.png,60.0,39.0,1.0,2.0,9.0,0.0,11.0,205.0,3.0,49.0,36.0,22.0,7.0,1768.0,0.0,0.0,0.0,16.0,0.0,5.0,44.0,122.0,755.0,712.0,1340.0,81.0,60.0,617.0,1844.0,50.0,67.0,28.0,141.0,241.0,10.0,Midfielder,1666.0
6311.0,César De la Hoz,C. De La Hoz,male,1992-03-30T00:00:00+00:00,74.0,179.0,UD Almería,ALM,https://assets.laliga.com/assets/2019/06/07/medium/almeria.png,6.0,Midfielder,https://assets.laliga.com/squad/2021/t1564/p116201/512x556/p116201_t1564_2021_1_001_000.png,83.0,40.0,0.0,0.0,15.0,0.0,15.0,176.0,0.0,25.0,50.0,11.0,1.0,1682.0,0.0,0.0,0.0,6.0,0.0,1.0,11.0,110.0,574.0,910.0,1373.0,69.0,48.0,324.0,1770.0,69.0,20.0,5.0,97.0,190.0,7.0,Forward,1664.0
6007.0,Eduardo Expósito Jaén,Edu Expósito,male,1996-08-01T00:00:00+00:00,68.0,178.0,SD Eibar,EIB,https://assets.laliga.com/assets/2019/06/07/medium/eibar.png,10.0,Midfielder,https://assets.laliga.com/squad/2021/t953/p420909/512x556/p420909_t953_2021_1_001_000.png,41.0,42.0,5.0,3.0,9.0,0.0,6.0,220.0,7.0,43.0,20.0,53.0,2.0,1629.0,0.0,0.0,0.0,35.0,0.0,12.0,63.0,101.0,933.0,517.0,1322.0,21.0,31.0,584.0,1731.0,47.0,69.0,39.0,61.0,247.0,3.0,Defender,1652.5
723.0,Sergio Canales,Canales,male,1991-02-16T00:00:00+00:00,65.0,176.0,Real Betis,BET,https://assets.laliga.com/assets/2019/06/07/medium/betis.png,10.0,Midfielder,https://assets.laliga.com/squad/2021/t185/p56448/512x556/p56448_t185_2021_1_001_000.png,11.0,34.0,6.0,3.0,1.0,0.0,6.0,103.0,5.0,31.0,10.0,58.0,11.0,1738.0,0.0,0.0,0.0,25.0,0.0,7.0,29.0,105.0,986.0,549.0,1415.0,11.0,19.0,447.0,1788.0,24.0,75.0,28.0,62.0,206.0,7.0,Midfielder,1644.5
106.0,Alberto Escassi,Escassi,male,1989-02-28T00:00:00+00:00,78.0,185.0,Málaga CF,MGA,https://assets.laliga.com/assets/2019/06/07/medium/malaga.png,23.0,Midfielder,https://assets.laliga.com/squad/2021/t182/p82788/512x556/p82788_t182_2021_1_001_000.png,94.0,36.0,0.0,5.0,19.0,0.0,9.0,219.0,1.0,37.0,49.0,9.0,1.0,1653.0,0.0,1.0,0.0,4.0,2.0,3.0,7.0,128.0,528.0,914.0,1311.0,79.0,59.0,320.0,1717.0,82.0,26.0,6.0,107.0,171.0,11.0,Defender,1642.5
5629.0,Frenkie de Jong,F. De Jong,male,1997-05-12T00:00:00+00:00,74.0,180.0,FC Barcelona,BAR,https://assets.laliga.com/assets/2019/06/07/medium/barcelona.png,21.0,Midfielder,https://assets.laliga.com/squad/2021/t178/p209712/512x556/p209712_t178_2021_1_001_000.png,26.0,32.0,1.0,0.0,5.0,0.0,4.0,146.0,3.0,30.0,20.0,40.0,6.0,1622.0,0.0,1.0,0.0,8.0,0.0,3.0,51.0,75.0,943.0,558.0,1421.0,15.0,24.0,255.0,1638.0,35.0,68.0,9.0,15.0,127.0,5.0,Midfielder,1641.0
11775.0,Kirian Rodríguez,Kirian,male,1996-03-05T00:00:00+00:00,75.0,180.0,UD Las Palmas,LPA,https://assets.laliga.com/assets/2019/06/07/medium/las-palmas.png,20.0,Midfielder,https://assets.laliga.com/squad/2021/t407/p484753/512x556/p484753_t407_2021_1_001_000.png,18.0,34.0,3.0,0.0,1.0,0.0,4.0,148.0,5.0,32.0,13.0,42.0,1.0,1700.0,0.0,0.0,0.0,21.0,0.0,3.0,35.0,98.0,934.0,567.0,1400.0,11.0,17.0,399.0,1752.0,34.0,29.0,25.0,52.0,202.0,0.0,Forward,1639.5
1865.0,Ignasi Miquel,I. Miquel,male,1992-09-28T00:00:00+00:00,82.0,188.0,SD Huesca,HUE,https://assets.laliga.com/assets/2019/06/07/medium/huesca.png,23.0,Defender,https://assets.laliga.com/squad/2021/t2894/p90801/512x556/p90801_t2894_2021_1_001_000.png,84.0,34.0,0.0,0.0,28.0,0.0,11.0,152.0,4.0,36.0,47.0,7.0,2.0,1690.0,0.0,1.0,0.0,8.0,0.0,1.0,8.0,167.0,361.0,1089.0,1282.0,155.0,33.0,336.0,1749.0,31.0,34.0,3.0,156.0,144.0,8.0,Midfielder,1633.5
